date,open_p,close_p,volume
2015-01-01,1.1001753698988528,1.108092026628223,789501
2015-01-02,1.107939299631402,1.111955727744936,2365305
2015-01-05,1.1118587552552484,1.0981648645610678,783715
2015-01-06,1.0979637801924609,1.097790217563227,779983
2015-01-07,1.0978078758182948,1.1097019463367703,783580
2015-01-08,1.1097661789057387,1.1109541900571875,784835
2015-01-09,1.111057016688398,1.1204274432447934,2353438
2015-01-12,1.1203616441542774,1.1150457293732452,787100
2015-01-13,1.1145633611015004,1.1077984219465051,794126
2015-01-14,1.1077870483699512,1.1053867462340177,796425
2015-01-15,1.1055726816436322,1.0962073511701413,784443
2015-01-16,1.0963631137147634,1.1070388655431649,2341174
2015-01-19,1.1071085325300496,1.1042710917507321,806203
2015-01-20,1.1039508956337136,1.0901854236958701,771346
2015-01-21,1.090248243623836,1.1051968409978434,783555
2015-01-22,1.104919939223375,1.1092039790074288,786097
2015-01-23,1.1089573956251564,1.1076851501029852,2388953
2015-01-26,1.1075380820162273,1.1163764429507363,802136
2015-01-27,1.1161747391549186,1.1171535340305196,800545
2015-01-28,1.1175053333652278,1.1319208484966665,786820
2015-01-29,1.1317720472829804,1.1365187761174702,787325
2015-01-30,1.1364396800641385,1.1503138992260566,2378354
2015-02-02,1.150332746133137,1.1539098830782148,796059
2015-02-03,1.1539756959474192,1.1635122235754656,778630
2015-02-04,1.163372518477481,1.170691918679977,794986
2015-02-05,1.170542202774897,1.1641363482275062,775397
2015-02-06,1.1640018674385202,1.177975162668915,2372255
2015-02-09,1.1772846594966337,1.1810487144837538,791175
2015-02-10,1.1809872872841434,1.1790541280631481,798192
2015-02-11,1.179462266627713,1.1851105300419753,798364
2015-02-12,1.185392472916652,1.1760718342344756,813399
2015-02-13,1.1754877041942042,1.188018563097428,2357263
2015-02-16,1.187780085154603,1.1944923552272044,782554
2015-02-17,1.1946179349042392,1.1849175368189941,792190
2015-02-18,1.1852892343187664,1.185937351035845,785782
2015-02-19,1.1859599570126813,1.195675963773186,793178
2015-02-20,1.1952021439734477,1.1902015633521474,2373257
2015-02-23,1.1903396948250125,1.1925003225911794,788936
2015-02-24,1.1926978826706882,1.2041013077265548,799020
2015-02-25,1.2046045826662564,1.2167090432771144,796870
2015-02-26,1.2167115385909886,1.2249536218950903,795155
2015-02-27,1.224978988193443,1.2170669622347132,2393389
2015-03-02,1.216812883335057,1.2074706131288688,780237
2015-03-03,1.207596294667437,1.2125705352826108,791884
2015-03-04,1.2123252725880833,1.206935651792089,807769
2015-03-05,1.2065959238072623,1.2030149629772522,775143
2015-03-06,1.2033279236108643,1.2048236540430128,2396570
2015-03-09,1.2050333892121181,1.1994414336594912,784442
2015-03-10,1.1994835858536639,1.1802914611470399,793596
2015-03-11,1.1803635974727724,1.1784861341540986,791189
2015-03-12,1.1786253065416665,1.1718285501903567,777036
2015-03-13,1.172309382323133,1.1706604569133368,2388471
2015-03-16,1.1705080477558953,1.1784513136583579,795291
2015-03-17,1.1781728810623153,1.1825718451189957,781149
2015-03-18,1.182433848432028,1.1807212015832058,790868
2015-03-19,1.1808409064897694,1.1843318734568409,800303
2015-03-20,1.184251979358513,1.1671763465265632,2362754
2015-03-23,1.1671556261452445,1.1705871894975937,778840
2015-03-24,1.1706598420257273,1.1718496402237812,793151
2015-03-25,1.1719710894138264,1.1689196503398334,807724
2015-03-26,1.1689114829887053,1.1767185809377811,798242
