Asset_ID,Quantity,Closing_Price,Return_Volatility,Return_Date
M000000,768,54.92700862527772,0.012983964751374156,2024-09-18
M000001,944,645.0589066072021,0.021748615467616146,2024-11-23
M000002,979,283.53262091898614,0.09898493085619806,2025-06-02
M000003,820,646.0684473011762,0.07578351113252485,2024-10-07
M000004,175,511.1303952482116,0.06390696129402575,2024-09-21
M000005,350,73.51163649373851,0.06270271747083875,2025-03-13
M000006,92,398.19446585362346,0.07620815380500845,2025-04-20
M000007,345,330.3830982918433,0.06039478702285863,2025-03-28
M000008,726,903.5731663634858,0.010116322792048231,2025-06-19
M000009,831,609.9984922932605,0.0305034987291554,2024-11-20
M000010,404,479.89896494659246,0.0754839700951994,2025-01-17
M000011,239,460.309485619399,0.08877509942179226,2025-05-16
M000012,503,884.7634773171364,0.06204233759911885,2025-01-30
M000013,573,812.6273746718019,0.06337054630799209,2025-05-18
M000014,440,607.4007884713096,0.07716337937432079,2024-12-28
M000015,619,454.4795955047231,0.07125103077365412,2024-10-10
M000016,620,473.85861280179677,0.09318081889032481,2024-09-04
M000017,604,821.9690787759068,0.06027094429350215,2025-05-29
M000018,106,963.7857633028125,0.03198041773381953,2025-01-07
M000019,872,361.4121759611693,0.08956472576596182,2024-09-16
M000020,827,302.22226774280773,0.08696457254831712,2025-02-03
M000021,950,808.0151484904047,0.07749390672770855,2024-11-01
M000022,577,361.35440862467794,0.0801387746685491,2024-11-05
M000023,49,850.5121734578606,0.09779107839462106,2024-11-26
M000024,714,544.6928809308502,0.038615311834355126,2025-02-09
M000025,77,408.17531990746903,0.08572950211004843,2024-08-27
M000026,574,797.9400591969265,0.043953870115794436,2024-08-25
M000027,591,833.7438848187104,0.0876559659332444,2024-07-14
M000028,701,486.94441221765265,0.04457589669167009,2025-06-06
M000029,111,43.29929455387199,0.0369424589446027,2025-03-23
M000030,888,660.6000642631543,0.055025173953299124,2025-05-07
M000031,852,293.1341655951661,0.011181644551902495,2024-08-06
M000032,998,187.77441106411214,0.09086066552180194,2024-07-13
M000033,634,194.19870745616242,0.06973267983818571,2025-03-14
M000034,183,505.7261589106585,0.09099463006338403,2025-06-15
M000035,226,63.43171790558903,0.04484135871452949,2025-05-22
M000036,403,947.515904770071,0.019973898262637353,2025-01-24
M000037,536,262.7432158514801,0.027129495970553114,2025-04-25
M000038,879,341.0025915074998,0.06722275500367052,2025-02-07
M000039,91,607.9110504024615,0.06167240484284487,2025-04-10
M000040,613,518.0528445547708,0.09919774270811212,2025-05-18
M000041,632,503.4247423799503,0.07447745982825771,2024-07-12
M000042,761,731.3463712704979,0.026381747313855994,2025-05-08
M000043,235,213.2045780394563,0.019785763806504063,2024-06-25
M000044,90,336.45025035677816,0.08679295459067572,2024-08-10
M000045,851,897.4542802383313,0.02434797156192284,2025-05-25
M000046,961,215.11185502256092,0.011879651506317805,2024-09-18
M000047,432,628.8592456871385,0.08086583657945183,2025-05-22
M000048,474,521.6722135958332,0.03929033354402621,2025-06-18
M000049,461,812.7022995358284,0.024864509118078033,2025-05-11
M000050,14,789.6020666151062,0.09341643965636948,2025-04-15
M000051,937,357.68926592976476,0.028327061535119394,2025-01-01
M000052,559,414.21315303314316,0.07681256094037969,2025-03-31
M000053,277,239.09966509739286,0.060435699907165887,2024-08-20
M000054,451,492.0384596234054,0.04088776834422285,2025-02-06
M000055,16,537.4564198615668,0.06154157710583704,2025-04-23
M000056,809,736.1775430894729,0.09334153341924543,2024-09-27
M000057,485,164.34855453061138,0.0894123233279445,2024-07-31
M000058,631,427.9521903967727,0.08882600744118152,2024-09-15
M000059,778,261.72152476080475,0.047297518333237164,2024-12-02
M000060,537,861.5614083691806,0.09201836134655426,2024-11-27
M000061,297,362.65126765933434,0.0780378413709586,2024-08-06
M000062,511,737.0840589414142,0.03718385593769007,2024-06-25
M000063,72,537.1329264769427,0.044538117913440284,2024-10-30
M000064,993,284.65018060263236,0.025636209073897763,2025-04-12
M000065,379,836.4915330960664,0.05785718728575584,2025-01-11
M000066,389,522.733560577693,0.012494072978164864,2024-09-28
M000067,426,942.7065536553846,0.05506459864221197,2025-06-19
M000068,708,459.6996547332629,0.06689604875744568,2024-09-27
M000069,597,943.5989765288565,0.04462433122098309,2025-01-08
M000070,820,519.0810979079855,0.09415759702086936,2025-04-29
M000071,978,324.73254223567415,0.03173072005962251,2024-12-11
M000072,833,210.74362264259995,0.053004492405088685,2024-08-20
M000073,646,845.431552463176,0.09299744325422,2025-03-31
M000074,567,731.5715811115955,0.08148096628059605,2024-12-06
M000075,595,173.62765291220114,0.01557212328082554,2024-07-10
M000076,972,415.01924379079713,0.07947038470563222,2024-07-19
M000077,580,95.18635502791672,0.07675336765445841,2025-01-15
M000078,589,948.9120443825708,0.01319729269038583,2024-08-05
M000079,81,811.4264613376617,0.08888811513849074,2025-03-24
M000080,743,425.70220053601815,0.05997355220038546,2024-09-26
M000081,647,830.1681580554678,0.08685046165352481,2025-06-17
M000082,64,842.4593837549446,0.0928294144548322,2024-07-16
M000083,68,664.9903435098622,0.010037368669611302,2025-05-17
M000084,888,522.841815500172,0.032847313345738614,2025-02-18
M000085,461,318.97114101690636,0.05967391968016529,2025-06-04
M000086,238,297.39336436082044,0.08909490870738729,2025-01-14
M000087,150,843.8217698954803,0.07445682809568266,2024-12-04
M000088,744,676.2261684133732,0.037674749310534515,2024-08-01
M000089,323,309.45280202768777,0.04025640471975886,2024-12-17
M000090,43,746.0050400970377,0.06952787153660388,2025-05-06
M000091,151,284.5200029867948,0.08096757269334894,2024-11-13
M000092,556,761.7756939150028,0.09266863668075381,2025-04-28
M000093,721,498.5016485869426,0.07468051062897758,2025-02-25
M000094,234,193.72386710150846,0.08598371058696229,2025-01-20
M000095,450,608.1355533303633,0.06971728153039641,2024-10-12
M000096,514,585.3199945034186,0.06785970133673092,2025-02-09
M000097,885,690.7798091002009,0.041790631775025,2024-08-02
M000098,7,717.2070458927351,0.01021562901654429,2024-08-31
M000099,126,233.58239189373114,0.06120575850409018,2025-03-03
M000100,992,558.6593178969998,0.06321861217511168,2024-07-18
M000101,564,839.749381506606,0.043987193103651775,2025-05-02
M000102,394,442.6216284914639,0.05834122666096155,2025-05-17
M000103,460,175.48511115870852,0.018733721349145624,2024-09-16
M000104,689,73.46982239556156,0.03848360961706189,2024-09-30
M000105,500,422.29371291171145,0.047099795023708084,2025-02-08
M000106,79,251.3636292416344,0.05662682079455304,2024-09-27
M000107,547,994.5667152695929,0.07217172922057151,2024-09-15
M000108,413,158.55820617185785,0.08692419788203443,2024-10-12
M000109,323,999.2539173509313,0.08468619025146407,2024-09-21
M000110,722,415.25023754791397,0.02922984548104359,2025-03-29
M000111,371,376.031774653806,0.05110398088370498,2025-03-21
M000112,728,201.30393428051886,0.0964242042882429,2024-10-13
M000113,92,793.0992933450573,0.05510478745903337,2024-10-30
M000114,259,579.9867942268862,0.07082954744101763,2025-04-19
M000115,457,463.5817258248864,0.029511606825361927,2024-10-19
M000116,687,752.414086027457,0.05175231115979088,2024-08-03
M000117,124,99.10757559980927,0.03415024159335384,2024-10-02
M000118,979,259.31724986871757,0.07476456048664103,2024-09-16
M000119,919,866.0365023067061,0.013374727571802497,2025-01-18
M000120,472,146.48281016297517,0.0740736046622203,2024-08-27
M000121,226,47.01248976539699,0.017660715718665346,2024-09-19
M000122,50,926.2315054311642,0.014775963298532589,2025-06-07
M000123,354,90.24581907437876,0.01803138748108873,2024-11-19
M000124,247,254.4120707295412,0.09561896272637753,2024-07-26
M000125,517,362.7305361332593,0.08026930631599538,2024-09-02
M000126,49,665.5452948178126,0.018200217073331845,2024-09-14
M000127,516,668.0554905916254,0.06944887332141703,2025-02-09
M000128,974,988.6700433651324,0.06629279456732942,2024-08-08
M000129,44,284.79985198311846,0.09634707237633872,2025-04-28
M000130,283,94.69269074833754,0.05905889834090611,2025-04-08
M000131,775,846.242109912328,0.08049364219763845,2025-05-28
M000132,919,586.7621354461311,0.06821742386944632,2025-02-12
M000133,837,980.6564476440834,0.04749536015375739,2024-10-19
M000134,544,529.624297519191,0.02126550878047198,2025-04-27
M000135,132,371.18786293067865,0.08050687564403382,2025-01-23
M000136,503,477.6464919210399,0.09385082974574885,2024-07-04
M000137,834,211.57848280150054,0.03387066659648978,2025-03-16
M000138,484,194.52514226114002,0.029342609268923243,2025-01-07
M000139,429,737.2468687800989,0.020835389789914976,2025-05-01
M000140,706,142.6614396122494,0.09437122630190382,2025-06-21
M000141,424,501.56827039248867,0.08768426922798395,2024-06-26
M000142,391,693.93962791637,0.011603559218050936,2024-08-24
M000143,850,796.1512033060046,0.02339101092444195,2024-12-24
M000144,966,269.16102196741184,0.05856466487118703,2024-10-12
M000145,53,928.7093478132886,0.011238806127178027,2024-10-26
M000146,143,723.3926111972294,0.06417420564790119,2025-04-08
M000147,267,763.7454299137061,0.04937921213329882,2024-09-18
M000148,234,159.5520855925598,0.0504580665798883,2024-11-01
M000149,946,572.3689871411016,0.048463367409822815,2025-04-08
M000150,759,243.90699846115916,0.012092031713895626,2025-02-21
M000151,810,270.6374251449844,0.07309188898626959,2025-03-13
M000152,752,616.2888918403185,0.018140028185098897,2025-06-13
M000153,334,563.9877114265103,0.028069854973430945,2024-08-06
M000154,989,770.2422120842042,0.02229385184819977,2025-01-01
M000155,746,92.5277267343435,0.05579022819083992,2024-12-14
M000156,512,403.68969405230877,0.05890612083895378,2024-12-10
M000157,827,910.9301035723497,0.03835039074868598,2025-04-24
M000158,407,117.57601216057704,0.025251039465908197,2025-02-03
M000159,899,583.6136728173439,0.08412640329425494,2025-01-07
M000160,940,344.99219764439846,0.0984437282966995,2024-10-24
M000161,649,164.39157371908067,0.06373063851968364,2025-03-11
M000162,468,640.4470584183667,0.07041060844035596,2025-04-09
M000163,397,662.5962538636344,0.05069160539408814,2025-06-18
M000164,772,750.9917930551578,0.026082748976445365,2025-06-13
M000165,864,452.2309488356,0.07418242338565591,2025-03-18
M000166,66,927.4120993756135,0.08371016638554467,2024-09-21
M000167,269,219.30088615842175,0.0927434826929393,2024-10-16
M000168,959,353.61470779004907,0.028457034253264922,2025-02-15
M000169,287,631.6979821031266,0.08156897368334055,2024-12-10
M000170,699,62.16397848567364,0.04316503720013346,2024-07-04
M000171,361,857.5247546925606,0.0784090317748569,2024-12-06
M000172,738,403.1758521277041,0.028454825710460194,2025-02-26
M000173,587,898.2067352505464,0.0373477944243512,2024-07-14
M000174,405,226.98990540613698,0.025364845161621102,2025-04-19
M000175,170,928.350677334595,0.06983392612490413,2024-12-01
M000176,264,751.242223277495,0.09422057351578722,2025-04-26
M000177,727,588.3970291687704,0.0923509336308683,2024-12-23
M000178,625,183.77050576762596,0.08136597903300113,2025-01-11
M000179,219,323.301835167697,0.07856700014345894,2025-03-11
M000180,597,310.3420463073802,0.08825070779308637,2024-08-29
M000181,881,320.994927835569,0.07092296967338976,2025-06-18
M000182,698,47.3710412318215,0.06638520879002534,2025-02-23
M000183,937,355.80387361827775,0.04458824168443704,2024-08-17
M000184,93,414.58034909822203,0.08315867428047045,2024-07-23
M000185,926,544.2775094248447,0.0859092682010524,2024-11-17
M000186,881,290.80688717264707,0.022643668698066634,2024-07-28
